STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
HIMACHAL PRADESH,2003,HIMACHAL PRADESH2003,6276624,77.61,55673,125,74,5,126,0,126,113,96,17,8,0,19,707,627,218,409,610,63,130,3,121,1385,6,250,18,221,0,463,6937,107,12,,120,6,,,8,19,707,627,1361,0,0,0,717,12011
JAMMU & KASHMIR,2003,JAMMU & KASHMIR2003,10395258,58.49,222236,929,1216,29,211,0,211,712,615,97,23,0,154,1526,1949,576,1373,1167,116,408,21,328,310,10,875,376,71,0,378,10424,5,1,,18,55,3652,129843802,23,154,1526,1949,3652,1,0,0,2158,21233
JHARKHAND,2003,JHARKHAND2003,27748929,58.16,74677,1482,957,109,712,0,712,487,262,225,702,37,864,1468,4155,564,3591,2481,265,479,5,147,3062,262,424,2,559,0,642,12902,76,108,,709,18,,,702,864,1468,4155,7189,,,,2221,32203
KARNATAKA,2003,KARNATAKA2003,54650418,69.04,191791,1506,1241,58,321,0,321,531,244,287,220,65,861,6055,14180,4296,9884,5784,495,2752,126,415,21913,194,1585,84,1704,0,172,52143,1844,167,,300,28,,,220,861,6055,14180,21316,12,2,0,4132,112405
KERALA,2003,KERALA2003,32320885,91.26,38852,435,448,343,394,0,394,189,102,87,142,19,634,4409,4891,1668,3223,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,439,65,,597,2,,,142,634,4409,4891,10076,,,,5474,98824
MADHYA PRADESH,2003,MADHYA PRADESH2003,62354284,65.2,308245,2227,2413,203,2738,0,2738,887,608,279,153,141,1578,12884,20422,5262,15160,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,5507,1779,,7040,29,,,153,1578,12884,20422,35037,3,3,3,14485,191078
MAHARASHTRA,2003,MAHARASHTRA2003,99932458,78.46,307713,2772,1412,113,1268,0,1268,926,626,300,514,249,2096,13892,37098,9271,27827,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,697,217,,4551,81,53600,2172595866,514,2096,13892,37098,53600,2,2,0,11057,164306
MANIPUR,2003,MANIPUR2003,2398400,73.47,22327,150,199,6,18,0,18,120,71,49,3,0,6,68,252,124,128,73,16,76,7,47,324,0,44,0,4,0,4,1120,0,4,,0,11,329,11398302,3,6,68,252,329,,,,137,2537
MEGHALAYA,2003,MEGHALAYA2003,2392552,64.94,22429,175,60,17,40,0,40,49,10,39,83,1,133,160,360,108,252,5,12,34,4,16,106,0,13,1,4,0,41,355,0,0,,32,4,736,231994840,83,133,160,360,736,0,0,0,68,1669
MIZORAM,2003,MIZORAM2003,907254,88.49,21081,46,36,3,54,0,54,8,2,6,5,0,21,487,1303,57,1246,3,19,60,12,23,142,0,88,0,3,0,11,1132,0,0,,48,2,1816,17986793,5,21,487,1303,1816,,,,147,3456
NAGALAND,2003,NAGALAND2003,2053734,67.62,16579,91,34,8,14,0,14,38,3,35,19,0,92,95,221,37,184,8,3,11,7,5,48,0,4,2,0,1,41,234,27,263,,0,0,427,7947483,19,92,95,221,427,0,0,0,24,976
ODISHA,2003,ODISHA2003,38146058,66.88,155707,1044,1214,188,725,0,725,477,373,104,178,30,875,2961,5359,1076,4283,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,1157,484,,313,17,9373,175548564,178,875,2961,5359,9373,4,0,0,4523,47281
PUNJAB,2003,PUNJAB2003,25052130,71.58,50362,731,644,89,380,0,380,464,295,169,30,117,108,2094,3198,1375,1823,0,343,3123,56,71,4124,110,346,199,987,0,2226,9316,127,0,,100,109,,,30,108,2094,3198,5430,0,0,0,2317,28756
RAJASTHAN,2003,RAJASTHAN2003,58125426,61.67,342239,1262,1977,61,1050,0,1050,2238,1750,488,36,41,655,6072,16456,5491,10965,4052,902,7225,58,784,26173,389,2715,33,5733,1,5074,62592,4329,912,,1640,40,23219,585503429,36,655,6072,16456,23219,1,0,0,11671,145579
SIKKIM,2003,SIKKIM2003,557825,70.54,7096,14,7,3,10,0,10,0,0,0,2,0,3,48,65,3,62,10,7,12,3,2,56,0,25,0,1,0,18,157,7,6,,17,1,118,5165122,2,3,48,65,118,,,,36,443
TAMIL NADU,2003,TAMIL NADU2003,64584023,75.61,130060,1591,1843,28,557,1,556,879,632,247,95,43,514,4849,18213,4581,13632,3706,307,1904,63,791,30228,220,2022,881,1555,1,9112,77784,1495,67,,813,32,23671,464144227,95,514,4849,18213,23671,1,0,0,5868,157186
TRIPURA,2003,TRIPURA2003,3283889,76.18,10486,254,87,0,114,0,114,146,29,117,36,0,69,167,276,10,266,274,3,25,3,83,534,20,127,0,247,0,109,940,0,0,,0,39,548,13749705,36,69,167,276,548,,,,537,3514
UTTAR PRADESH,2003,UTTAR PRADESH2003,172752379,61.16,240928,5284,3793,1525,911,0,911,2208,1499,709,317,196,1988,4016,15751,5605,10146,2251,1746,2911,226,297,7760,1322,1098,4970,2626,0,4428,29449,2821,47,,58,106,,,317,1988,4016,15751,22072,1,0,0,12426,95073
UTTARAKHAND,2003,UTTARAKHAND2003,8667485,72.94,53566,268,236,31,107,0,107,171,134,37,26,3,160,557,1368,400,968,392,138,379,8,33,687,93,136,98,317,0,362,2353,129,5,,4,12,2111,51537513,26,160,557,1368,2111,,,,885,7923
WEST BENGAL,2003,WEST BENGAL2003,82303838,69.8,88752,1425,400,484,1002,0,1002,902,801,101,217,883,598,342,12613,2581,10032,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,5,3,,40,18,13770,437117656,217,598,342,12613,13770,1,0,0,8338,61174
A & N ISLANDS,2003,A & N ISLANDS2003,388343,81.55,8249,21,4,1,2,0,2,2,2,0,2,0,7,56,60,3,57,19,3,13,0,8,110,0,9,2,7,0,0,318,0,1,,,0,125,2912650,2,7,56,60,125,,,,22,644
CHANDIGARH,2003,CHANDIGARH2003,942787,82.39,114,21,15,2,18,0,18,32,28,4,3,1,12,204,1238,552,686,46,32,209,2,4,71,1,11,4,93,0,8,779,1,0,,111,4,,,3,12,204,1238,1457,0,0,0,155,2806
D & N HAVELI,2003,D & N HAVELI2003,227302,62.63,491,11,5,0,1,0,1,7,4,3,4,0,6,41,61,15,46,17,8,13,2,4,22,0,4,0,2,0,1,129,0,23,,2,0,,,4,6,41,61,112,,,,11,338
DAMAN & DIU,2003,DAMAN & DIU2003,163912,83.18,112,6,3,0,5,0,5,1,1,0,4,0,1,41,46,25,21,31,8,8,6,1,14,1,3,0,0,0,6,84,0,1,,2,0,92,11755706,4,1,41,46,92,0,0,0,10,269
LAKSHADWEEP,2003,LAKSHADWEEP2003,62829,87.11,32,0,0,0,2,0,2,0,0,0,0,0,0,6,8,1,7,4,0,0,0,2,1,0,1,0,1,0,0,6,0,0,,0,0,14,178650,0,0,6,8,14,,,,4,31
PUDUCHERRY,2003,PUDUCHERRY2003,1003888,81.63,479,29,32,0,2,0,2,18,13,5,2,0,11,126,567,295,272,159,12,32,1,18,1053,1,56,27,4,0,182,2185,22,0,,35,0,706,17810733,2,11,126,567,706,1,0,0,103,4517
ANDHRA PRADESH,2004,ANDHRA PRADESH2004,80785460,66.11,275045,2579,1908,163,1016,0,1016,1526,1030,496,199,2,596,8457,23578,5042,18536,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,3255,566,,1304,61,,,199,596,8457,23578,32830,20,2,0,17075,158756
ARUNACHAL PRADESH,2004,ARUNACHAL PRADESH2004,1162440,62.15,83743,67,45,1,42,0,42,65,41,24,30,2,45,215,388,75,313,65,26,34,1,19,429,0,61,0,4,0,0,717,0,75,,91,0,,,30,45,215,388,678,2,0,0,148,2256
ASSAM,2004,ASSAM2004,27699685,73.25,78438,1214,410,63,1171,0,1171,1906,1552,354,360,31,505,2544,5866,685,5181,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,20,12,,331,9,,,360,505,2544,5866,9275,,,,5636,40675
BIHAR,2004,BIHAR2004,86579841,54.99,94163,3948,2995,280,1390,1,1389,3413,997,2416,1319,145,2986,3175,11113,2083,9030,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,2646,45,,213,17,,,1319,2986,3175,11113,18593,3,3,0,6847,108060
CHHATTISGARH,2004,CHHATTISGARH2004,21684049,69.92,135191,927,619,25,969,0,969,214,174,40,106,8,363,3720,5014,1316,3698,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,698,676,,1499,17,,,106,363,3720,5014,9203,0,0,0,3747,41927
GOA,2004,GOA2004,1419054,82.87,3702,40,6,5,37,0,37,13,10,3,5,0,18,261,503,120,383,33,49,61,0,7,170,2,23,15,17,0,216,646,0,0,,63,0,,,5,18,261,503,787,,,,104,2127
GUJARAT,2004,GUJARAT2004,52541743,74.61,196024,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,1309,241,,1828,61,,,360,1136,5828,18551,25875,8,6,0,6178,105469
HARYANA,2004,HARYANA2004,22389636,70.6,44212,733,441,65,386,0,386,423,292,131,52,145,244,2786,6558,3735,2823,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,217,0,,1221,38,,,52,244,2786,6558,9640,,,,4208,39096
HIMACHAL PRADESH,2004,HIMACHAL PRADESH2004,6379674,78.17,55673,110,77,12,153,0,153,123,99,24,1,0,25,766,643,192,451,562,97,174,6,112,1421,8,284,16,252,0,469,7015,89,11,,115,8,,,1,25,766,643,1435,0,0,0,812,12326
JAMMU & KASHMIR,2004,JAMMU & KASHMIR2004,10526785,59.97,222236,816,1112,29,218,0,218,735,632,103,28,0,129,1420,1939,573,1366,1116,105,414,32,320,334,9,990,264,82,0,422,10677,4,1,,11,65,,,28,129,1420,1939,3516,3,1,0,2195,21191
JHARKHAND,2004,JHARKHAND2004,28156879,60.46,74677,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,126,123,,709,34,,,580,780,1419,4374,7153,,,,2288,31439
KARNATAKA,2004,KARNATAKA2004,55639742,70.53,191791,1519,1387,57,291,1,290,592,286,306,177,109,1024,6093,16093,5185,10908,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,1643,173,,421,23,,,177,1024,6093,16093,23387,0,0,0,3916,114440
KERALA,2004,KERALA2004,32559088,91.46,38852,417,391,473,480,0,480,232,142,90,129,15,639,4580,5240,1717,3523,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,438,82,,320,2,,,129,639,4580,5240,10588,,,,6268,104025
MADHYA PRADESH,2004,MADHYA PRADESH2004,63365917,65.93,308245,2379,2563,188,2875,0,2875,832,584,248,147,134,1526,12308,22586,6148,16438,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,4699,1667,,6768,35,,,147,1526,12308,22586,36567,0,0,0,15140,196867
MAHARASHTRA,2004,MAHARASHTRA2004,101468210,79.27,307713,2696,1463,115,1388,0,1388,1045,787,258,629,315,2229,14659,43952,11307,32645,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,715,231,,4934,85,,,629,2229,14659,43952,61469,3,7,0,11828,176302
MANIPUR,2004,MANIPUR2004,2446833,74.97,22327,159,227,3,31,0,31,128,71,57,2,2,3,66,244,108,136,115,25,142,4,85,233,0,30,0,2,0,35,999,0,0,,0,18,,,2,3,66,244,315,0,0,0,134,2535
MEGHALAYA,2004,MEGHALAYA2004,2430062,66.13,22429,124,42,7,54,0,54,54,18,36,91,2,81,142,418,138,280,2,25,44,2,15,123,2,34,0,5,0,51,434,0,0,,53,1,,,91,81,142,418,732,0,0,0,113,1752
MIZORAM,2004,MIZORAM2004,916968,88.49,21081,35,21,2,20,0,20,15,0,15,10,0,6,250,610,0,610,2,30,20,6,22,80,0,66,0,0,0,0,320,0,0,,607,0,,,10,6,250,610,876,0,0,0,86,1515
NAGALAND,2004,NAGALAND2004,2086382,68.14,16579,70,33,5,18,0,18,23,4,19,14,0,117,70,255,26,229,6,11,28,0,5,52,0,3,1,0,0,34,239,0,0,,3,0,,,14,117,70,255,456,0,0,0,26,984
ODISHA,2004,ODISHA2004,38824778,68.78,155707,1066,1197,25,770,0,770,526,423,103,238,0,952,2992,5967,1401,4566,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,1398,519,,354,8,,,238,952,2992,5967,10149,4,2,0,4685,48739
PUNJAB,2004,PUNJAB2004,25405054,72.55,50362,775,716,148,390,0,390,463,311,152,17,79,86,1766,2587,1132,1455,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,134,0,,79,93,,,17,86,1766,2587,4456,0,0,0,1914,25630
RAJASTHAN,2004,RAJASTHAN2004,58937566,62.3,342239,1279,2030,59,1038,0,1038,2384,1881,503,58,46,673,5911,18842,6648,12194,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,4360,1031,,1729,46,,,58,673,5911,18842,25484,,,,12946,154859
SIKKIM,2004,SIKKIM2004,566619,71.41,7096,16,8,3,3,0,3,5,4,1,0,0,5,64,73,6,67,76,4,22,1,7,78,0,40,0,1,0,29,196,16,32,,13,0,,,0,5,64,73,142,,,,48,631
TAMIL NADU,2004,TAMIL NADU2004,65698096,76.7,130060,1479,1772,26,618,0,618,870,692,178,72,54,464,4147,17530,3996,13534,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,1156,27,,797,50,,,72,464,4147,17530,22213,1,1,0,5914,166606
TRIPURA,2004,TRIPURA2004,3326479,77.67,10486,189,36,0,160,0,160,99,54,45,27,2,46,166,260,49,211,148,17,34,12,24,452,20,134,0,302,0,85,868,1,0,,0,11,,,27,46,166,260,499,,,,670,3081
UTTAR PRADESH,2004,UTTAR PRADESH2004,176133744,63.06,240928,6126,5580,1436,1397,0,1397,3337,2324,1013,378,98,2606,5299,22524,8452,14072,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,3785,5,,129,111,,,378,2606,5299,22524,30807,,,,14964,130181
UTTARAKHAND,2004,UTTARAKHAND2004,8757523,73.6,53566,262,247,29,115,0,115,213,127,86,37,1,165,566,1597,500,1097,444,157,372,13,28,865,82,143,110,405,0,464,2319,137,3,,16,6,,,37,165,566,1597,2365,,,,982,8634
WEST BENGAL,2004,WEST BENGAL2004,83344579,70.38,88752,1425,390,468,1475,0,1475,1200,1018,182,212,943,535,547,14465,2668,11797,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,14,9,,88,16,,,212,535,547,14465,15759,0,0,0,10865,69350
A & N ISLANDS,2004,A & N ISLANDS2004,404902,81.67,8249,15,1,2,10,0,10,3,3,0,0,0,3,69,103,9,94,9,0,12,0,9,105,0,6,3,5,0,6,387,0,1,,,3,,,0,3,69,103,175,,,,27,748
CHANDIGARH,2004,CHANDIGARH2004,964215,82.62,114,22,19,10,19,0,19,54,43,11,0,2,6,186,1459,653,806,43,23,135,4,0,65,6,20,18,73,0,5,720,0,0,,105,2,,,0,6,186,1459,1651,,,,179,2889
D & N HAVELI,2004,D & N HAVELI2004,230756,65.13,491,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,0,4,,4,0,,,3,2,20,53,78,,,,22,409
DAMAN & DIU,2004,DAMAN & DIU2004,166835,85.68,112,3,1,0,1,0,1,2,0,2,0,0,1,35,27,12,15,19,4,5,0,2,17,0,1,0,4,0,25,51,0,1,,0,0,,,0,1,35,27,63,,,,6,198
LAKSHADWEEP,2004,LAKSHADWEEP2004,63976,87.34,32,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,1,0,6,0,0,0,1,0,0,18,0,0,,0,0,,,0,0,2,5,7,,,,1,70
PUDUCHERRY,2004,PUDUCHERRY2004,1019077,81.82,479,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,23,0,,55,0,,,0,1,86,634,721,,,,100,4620
ANDHRA PRADESH,2005,ANDHRA PRADESH2005,82335801,67.39,275045,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,3117,515,,1419,48,32776,751545976,250,794,7954,23778,32776,0,0,0,17175,157123
ARUNACHAL PRADESH,2005,ARUNACHAL PRADESH2005,1184653,64.75,83743,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2,54,,147,0,894,46073501,23,77,263,531,894,0,0,0,150,2304
ASSAM,2005,ASSAM2005,28053772,76.58,78438,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,282,216,,373,9,9409,178998996,334,451,2255,6369,9409,1,0,0,5920,42006
BIHAR,2005,BIHAR2005,87790018,57.66,94163,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,1824,82,,310,33,17515,273082345,1212,2374,3117,10812,17515,,,,5202,97850
CHHATTISGARH,2005,CHHATTISGARH2005,22010465,71.68,135191,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,454,497,,1686,14,9826,268191880,204,401,3621,5600,9826,0,0,0,3588,43633
GOA,2005,GOA2005,1443911,83.15,3702,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2,1,,61,0,,,2,28,265,495,790,,,,83,2119
GUJARAT,2005,GUJARAT2005,53193892,76.44,196024,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,1307,237,,1828,48,24544,835241359,282,966,5332,17964,24544,11,10,0,6284,113414
HARYANA,2005,HARYANA2005,22817519,71.49,44212,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,288,0,,1206,54,12609,463902424,88,390,3437,8694,12609,0,0,0,4069,42664
HIMACHAL PRADESH,2005,HIMACHAL PRADESH2005,6485246,78.74,55673,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,55,10,,183,1,1420,68147727,6,22,696,696,1420,0,0,0,788,12345
JAMMU & KASHMIR,2005,JAMMU & KASHMIR2005,10662279,61.45,222236,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,1,0,,6,47,3427,103828111,13,116,1397,1901,3427,0,0,0,2141,20115
JHARKHAND,2005,JHARKHAND2005,28568908,62.76,74677,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,277,483,,883,12,,,592,732,1610,6195,9129,1,0,0,2216,35175
KARNATAKA,2005,KARNATAKA2005,56641538,72.02,191791,1609,1406,80,343,0,343,589,312,277,208,119,1202,5986,17008,5920,11088,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,1780,161,,236,17,24404,817172602,208,1202,5986,17008,24404,1,2,0,4455,117580
KERALA,2005,KERALA2005,32796224,91.66,38852,388,341,88,478,0,478,226,129,97,110,158,621,4110,5454,1969,3485,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,345,82,,380,9,10295,515566635,110,621,4110,5454,10295,3,0,0,6425,104350
MADHYA PRADESH,2005,MADHYA PRADESH2005,64383393,66.66,308245,2405,2512,134,2921,0,2921,847,604,243,147,130,1557,11192,20685,6390,14295,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,4356,1615,,5673,43,33581,619740811,147,1557,11192,20685,33581,0,0,0,14474,189172
MAHARASHTRA,2005,MAHARASHTRA2005,102996199,80.08,307713,2621,1614,98,1545,0,1545,1194,851,343,641,307,2411,15615,46851,12189,34662,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,865,224,,5696,105,65518,2936344274,641,2411,15615,46851,65518,0,0,0,13117,187027
MANIPUR,2005,MANIPUR2005,2495663,76.47,22327,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,0,0,,0,2,317,16736542,4,8,62,243,317,3,0,0,139,2913
MEGHALAYA,2005,MEGHALAYA2005,2468003,67.32,22429,134,35,2,63,0,63,48,19,29,81,1,95,148,476,116,360,42,18,39,3,70,135,1,44,0,3,0,61,381,0,0,,95,2,800,33918479,81,95,148,476,800,0,0,0,130,1880
MIZORAM,2005,MIZORAM2005,926901,88.49,21081,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,0,0,,323,0,1228,17718795,3,6,442,777,1228,0,0,0,94,2156
NAGALAND,2005,NAGALAND2005,2119579,68.65,16579,87,26,8,17,0,17,26,9,17,12,0,80,93,294,97,197,8,17,41,5,4,35,0,7,0,0,0,37,252,0,0,0,3,1,479,9429668,12,80,93,294,479,0,0,0,33,1049
ODISHA,2005,ODISHA2005,39509013,70.68,155707,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,1439,602,86,596,7,10954,297906936,184,998,3029,6743,10954,2,0,0,5773,51685
PUNJAB,2005,PUNJAB2005,25762254,73.51,50362,713,723,216,398,0,398,478,329,149,27,103,85,1933,2924,1151,1773,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,140,0,210,112,94,4969,325742308,27,85,1933,2924,4969,0,0,0,1906,27136
