STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
KERALA,2003,32320885,435,448,343,394,0,394,189,102,87,142,19,634,4409,4891,1668,3223,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,439,65,5474,98824,91.26,38852,412.3498598,597,2,-5844.690647,18409636.88,142,634,4409,4891,10076,5.043532063,-0.140855702,0.089214531
MADHYA PRADESH,2003,62354284,2227,2413,203,2738,0,2738,887,608,279,153,141,1578,12884,20422,5262,15160,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,5507,1779,14485,191078,65.2,308245,2856.29852,7040,29,35115.30935,1450407035,153,1578,12884,20422,35037,3,3,3
MAHARASHTRA,2003,99932458,2772,1412,113,1268,0,1268,926,626,300,514,249,2096,13892,37098,9271,27827,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,697,217,11057,164306,78.46,307713,2805.404585,4551,81,53600,2172595866,514,2096,13892,37098,53600,2,2,0
MANIPUR,2003,2398400,150,199,6,18,0,18,120,71,49,3,0,6,68,252,124,128,73,16,76,7,47,324,0,44,0,4,0,4,1120,0,4,137,2537,73.47,22327,-38.72617985,0,11,329,11398302,3,6,68,252,329,2.692502679,-0.04762908,0.307532742
MEGHALAYA,2003,2392552,175,60,17,40,0,40,49,10,39,83,1,133,160,360,108,252,5,12,34,4,16,106,0,13,1,4,0,41,355,0,0,68,1669,64.94,22429,-86.37555809,32,4,736,231994840,83,133,160,360,736,0,0,0
MIZORAM,2003,907254,46,36,3,54,0,54,8,2,6,5,0,21,487,1303,57,1246,3,19,60,12,23,142,0,88,0,3,0,11,1132,0,0,147,3456,88.49,21081,30.17428575,48,2,1816,17986793,5,21,487,1303,1816,2.554308437,-0.63677188,0.419196986
NAGALAND,2003,2053734,91,34,8,14,0,14,38,3,35,19,0,92,95,221,37,184,8,3,11,7,5,48,0,4,2,0,1,41,234,27,263,24,976,67.62,16579,-15.63363019,0,0,427,7947483,19,92,95,221,427,0,0,0
ODISHA,2003,38146058,1044,1214,188,725,0,725,477,373,104,178,30,875,2961,5359,1076,4283,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,1157,484,4523,47281,66.88,155707,465.1507717,313,17,9373,175548564,178,875,2961,5359,9373,4,0,0
PUNJAB,2003,25052130,731,644,89,380,0,380,464,295,169,30,117,108,2094,3198,1375,1823,0,343,3123,56,71,4124,110,346,199,987,0,2226,9316,127,0,2317,28756,71.58,50362,102.4988359,100,109,-9940.690647,-102858697,30,108,2094,3198,5430,0,0,0
RAJASTHAN,2003,58125426,1262,1977,61,1050,0,1050,2238,1750,488,36,41,655,6072,16456,5491,10965,4052,902,7225,58,784,26173,389,2715,33,5733,1,5074,62592,4329,912,11671,145579,61.67,342239,1292.260047,1640,40,23219,585503429,36,655,6072,16456,23219,1,0,0
SIKKIM,2003,557825,14,7,3,10,0,10,0,0,0,2,0,3,48,65,3,62,10,7,12,3,2,56,0,25,0,1,0,18,157,7,6,36,443,70.54,7096,-40.40486061,17,1,118,5165122,2,3,48,65,118,2.388049414,-0.320597906,-0.05592382
TAMIL NADU,2003,64584023,1591,1843,28,557,1,556,879,632,247,95,43,514,4849,18213,4581,13632,3706,307,1904,63,791,30228,220,2022,881,1555,1,9112,77784,1495,67,5868,157186,75.61,130060,1069.852483,813,32,23671,464144227,95,514,4849,18213,23671,1,0,0
TRIPURA,2003,3283889,254,87,0,114,0,114,146,29,117,36,0,69,167,276,10,266,274,3,25,3,83,534,20,127,0,247,0,109,940,0,0,537,3514,76.18,10486,-56.40211621,0,39,548,13749705,36,69,167,276,548,2.447040083,0.853384476,1.200517487
UTTAR PRADESH,2003,172752379,5284,3793,1525,911,0,911,2208,1499,709,317,196,1988,4016,15751,5605,10146,2251,1746,2911,226,297,7760,1322,1098,4970,2626,0,4428,29449,2821,47,12426,95073,61.16,240928,1218.214137,58,106,35115.30935,890613564,317,1988,4016,15751,22072,1,0,0
UTTARAKHAND,2003,8667485,268,236,31,107,0,107,171,134,37,26,3,160,557,1368,400,968,392,138,379,8,33,687,93,136,98,317,0,362,2353,129,5,885,7923,72.94,53566,58.98074094,4,12,2111,51537513,26,160,557,1368,2111,3.300902505,0.449244987,0.18643323
WEST BENGAL,2003,82303838,1425,400,484,1002,0,1002,902,801,101,217,883,598,342,12613,2581,10032,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,5,3,8338,61174,69.8,88752,485.6590239,40,18,13770,437117656,217,598,342,12613,13770,1,0,0
A & N ISLANDS,2003,388343,21,4,1,2,0,2,2,2,0,2,0,7,56,60,3,57,19,3,13,0,8,110,0,9,2,7,0,0,318,0,1,22,644,81.55,8249,307.513619,1872.145277,0,125,2912650,2,7,56,60,125,3.09384037,15.61186281,7.993139643
CHANDIGARH,2003,942787,21,15,2,18,0,18,32,28,4,3,1,12,204,1238,552,686,46,32,209,2,4,71,1,11,4,93,0,8,779,1,0,155,2806,82.39,114,-3.48139919,111,4,-20180.69065,-178873357.3,3,12,204,1238,1457,0,0,0
D & N HAVELI,2003,227302,11,5,0,1,0,1,7,4,3,4,0,6,41,61,15,46,17,8,13,2,4,22,0,4,0,2,0,1,129,0,23,11,338,62.63,491,-87.02642837,2,0,10667.30935,30546028.43,4,6,41,61,112,2.989676831,0.372545255,-0.081726699
DAMAN & DIU,2003,163912,6,3,0,5,0,5,1,1,0,4,0,1,41,46,25,21,31,8,8,6,1,14,1,3,0,0,0,6,84,0,1,10,269,83.18,112,-48.67204448,2,0,92,11755706,4,1,41,46,92,0,0,0
LAKSHADWEEP,2003,62829,0,0,0,2,0,2,0,0,0,0,0,0,6,8,1,7,4,0,0,0,2,1,0,1,0,1,0,0,6,0,0,4,31,87.11,32,-45.86476306,0,0,14,178650,0,0,6,8,14,2.223545083,-0.904106114,0.446806771
PUDUCHERRY,2003,1003888,29,32,0,2,0,2,18,13,5,2,0,11,126,567,295,272,159,12,32,1,18,1053,1,56,27,4,0,182,2185,22,0,103,4517,81.63,479,-11.101503,35,0,706,17810733,2,11,126,567,706,1,0,0
ANDHRA PRADESH,2004,80785460,2579,1908,163,1016,0,1016,1526,1030,496,199,2,596,8457,23578,5042,18536,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,3255,566,17075,158756,66.11,275045,1285.562263,1304,61,51499.30935,1250713450,199,596,8457,23578,32830,20,2,0
ARUNACHAL PRADESH,2004,1162440,67,45,1,42,0,42,65,41,24,30,2,45,215,388,75,313,65,26,34,1,19,429,0,61,0,4,0,0,717,0,75,148,2256,62.15,83743,-68.97199462,91,0,28459.30935,178679799.6,30,45,215,388,678,2,0,0
ASSAM,2004,27699685,1214,410,63,1171,0,1171,1906,1552,354,360,31,505,2544,5866,685,5181,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,20,12,5636,40675,73.25,78438,47.82960176,331,9,10539.30935,260332527.2,360,505,2544,5866,9275,4.43572937,1.032365806,0.003972909
BIHAR,2004,86579841,3948,2995,280,1390,1,1389,3413,997,2416,1319,145,2986,3175,11113,2083,9030,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,2646,45,6847,108060,54.99,94163,215.751792,213,17,43307.30935,988304916,1319,2986,3175,11113,18593,3,3,0
CHHATTISGARH,2004,21684049,927,619,25,969,0,969,214,174,40,106,8,363,3720,5014,1316,3698,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,698,676,3747,41927,69.92,135191,495.3891414,1499,17,18731.30935,321733015.4,106,363,3720,5014,9203,0,0,0
GOA,2004,1419054,40,6,5,37,0,37,13,10,3,5,0,18,261,503,120,383,33,49,61,0,7,170,2,23,15,17,0,216,646,0,0,104,2127,82.87,3702,-45.68774917,63,0,-11476.69065,-147039482.5,5,18,261,503,787,2.850678139,-0.506794431,0.354392826
GUJARAT,2004,52541743,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,1309,241,6178,105469,74.61,196024,1197.421968,1828,61,18731.30935,976468830.9,360,1136,5828,18551,25875,8,6,0
HARYANA,2004,22389636,733,441,65,386,0,386,423,292,131,52,145,244,2786,6558,3735,2823,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,217,0,4208,39096,70.6,44212,511.915758,1221,38,-5844.690647,216060473,52,244,2786,6558,9640,3.904705273,1.045289774,1.068733966
HIMACHAL PRADESH,2004,6379674,110,77,12,153,0,153,123,99,24,1,0,25,766,643,192,451,562,97,174,6,112,1421,8,284,16,252,0,469,7015,89,11,812,12326,78.17,55673,-18.31363025,115,8,-724.6906475,-83624263.48,1,25,766,643,1435,0,0,0
JAMMU & KASHMIR,2004,10526785,816,1112,29,218,0,218,735,632,103,28,0,129,1420,1939,573,1366,1116,105,414,32,320,334,9,990,264,82,0,422,10677,4,1,2195,21191,59.97,222236,28.00339631,11,65,55595.30935,376914968.9,28,129,1420,1939,3516,3,1,0
JHARKHAND,2004,28156879,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,126,123,2288,31439,60.46,74677,-125.5943658,709,34,18731.30935,391493274.7,580,780,1419,4374,7153,4.536433054,2.752421685,1.411535937
KARNATAKA,2004,55639742,1519,1387,57,291,1,290,592,286,306,177,109,1024,6093,16093,5185,10908,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,1643,173,3916,114440,70.53,191791,1024.875324,421,23,35115.30935,803626065.6,177,1024,6093,16093,23387,0,0,0
KERALA,2004,32559088,417,391,473,480,0,480,232,142,90,129,15,639,4580,5240,1717,3523,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,438,82,6268,104025,91.46,38852,406.6205966,320,2,-14036.69065,-79214126.93,129,639,4580,5240,10588,4.525149213,0.571190584,-0.196545572
MADHYA PRADESH,2004,63365917,2379,2563,188,2875,0,2875,832,584,248,147,134,1526,12308,22586,6148,16438,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,4699,1667,15140,196867,65.93,308245,2871.84287,6768,35,2347.309353,1259204751,147,1526,12308,22586,36567,0,0,0
MAHARASHTRA,2004,101468210,2696,1463,115,1388,0,1388,1045,787,258,629,315,2229,14659,43952,11307,32645,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,715,231,11828,176302,79.27,307713,3275.061862,4934,85,-30420.69065,1771707748,629,2229,14659,43952,61469,3,7,0
MANIPUR,2004,2446833,159,227,3,31,0,31,128,71,57,2,2,3,66,244,108,136,115,25,142,4,85,233,0,30,0,2,0,35,999,0,0,134,2535,74.97,22327,-77.32518521,0,18,-6100.690647,-119986620.7,2,3,66,244,315,0,0,0
MEGHALAYA,2004,2430062,124,42,7,54,0,54,54,18,36,91,2,81,142,418,138,280,2,25,44,2,15,123,2,34,0,5,0,51,434,0,0,113,1752,66.13,22429,-136.3845027,53,1,6955.309353,18736696.83,91,81,142,418,732,0,0,0
MIZORAM,2004,916968,35,21,2,20,0,20,15,0,15,10,0,6,250,610,0,610,2,30,20,6,22,80,0,66,0,0,0,0,320,0,0,86,1515,88.49,21081,50.59422086,607,0,-24276.69065,-197903432.7,10,6,250,610,876,0,0,0
NAGALAND,2004,2086382,70,33,5,18,0,18,23,4,19,14,0,117,70,255,26,229,6,11,28,0,5,52,0,3,1,0,0,34,239,0,0,26,984,68.14,16579,-36.70842154,3,0,3883.309353,-19233664.65,14,117,70,255,456,0,0,0
ODISHA,2004,38824778,1066,1197,25,770,0,770,526,423,103,238,0,952,2992,5967,1401,4566,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,1398,519,4685,48739,68.78,155707,444.9196564,354,8,43307.30935,527328225.2,238,952,2992,5967,10149,4,2,0
PUNJAB,2004,25405054,775,716,148,390,0,390,463,311,152,17,79,86,1766,2587,1132,1455,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,134,0,1914,25630,72.55,50362,72.6486658,79,93,-5844.690647,-84220911.68,17,86,1766,2587,4456,0,0,0
RAJASTHAN,2004,58937566,1279,2030,59,1038,0,1038,2384,1881,503,58,46,673,5911,18842,6648,12194,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,4360,1031,12946,154859,62.3,342239,1394.792255,1729,46,67883.30935,1299632473,58,673,5911,18842,25484,8.869920534,2.287206551,-0.244557476
SIKKIM,2004,566619,16,8,3,3,0,3,5,4,1,0,0,5,64,73,6,67,76,4,22,1,7,78,0,40,0,1,0,29,196,16,32,48,631,71.41,7096,-78.4083272,13,0,2475.309353,-43828344.73,0,5,64,73,142,3.046140246,0.013966319,0.129892889
TAMIL NADU,2004,65698096,1479,1772,26,618,0,618,870,692,178,72,54,464,4147,17530,3996,13534,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,1156,27,5914,166606,76.7,130060,1051.142623,797,50,2347.309353,696047539.2,72,464,4147,17530,22213,1,1,0
TRIPURA,2004,3326479,189,36,0,160,0,160,99,54,45,27,2,46,166,260,49,211,148,17,34,12,24,452,20,134,0,302,0,85,868,1,0,670,3081,77.67,10486,-86.70776414,0,11,-4564.690647,-100581954.7,27,46,166,260,499,2.95578347,0.39268966,0.607048689
UTTAR PRADESH,2004,176133744,6126,5580,1436,1397,0,1397,3337,2324,1013,378,98,2606,5299,22524,8452,14072,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,3785,5,14964,130181,63.06,240928,1762.810511,129,111,35115.30935,1219896875,378,2606,5299,22524,30807,3.859501253,8.655967066,0.496806101
UTTARAKHAND,2004,8757523,262,247,29,115,0,115,213,127,86,37,1,165,566,1597,500,1097,444,157,372,13,28,865,82,143,110,405,0,464,2319,137,3,982,8634,73.6,53566,22.03353445,16,6,10539.30935,74494619.53,37,165,566,1597,2365,3.980272641,0.254074721,0.157282717
WEST BENGAL,2004,83344579,1425,390,468,1475,0,1475,1200,1018,182,212,943,535,547,14465,2668,11797,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,14,9,10865,69350,70.38,88752,569.7239054,88,16,-5844.690647,598496756.9,212,535,547,14465,15759,0,0,0
A & N ISLANDS,2004,404902,15,1,2,10,0,10,3,3,0,0,0,3,69,103,9,94,9,0,12,0,9,105,0,6,3,5,0,6,387,0,1,27,748,81.67,8249,297.2313561,1872.143744,3,-19924.69065,-23394514.97,0,3,69,103,175,2.404433564,13.84300172,6.850722413
CHANDIGARH,2004,964215,22,19,10,19,0,19,54,43,11,0,2,6,186,1459,653,806,43,23,135,4,0,65,6,20,18,73,0,5,720,0,0,179,2889,82.62,114,6.076735739,105,2,-16084.69065,-131891865.7,0,6,186,1459,1651,2.447309238,-0.454694206,0.349552755
D & N HAVELI,2004,230756,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,0,4,22,409,65.13,491,-87.59232066,4,0,7787.309353,5645752.287,3,2,20,53,78,2.956131535,0.255687064,-0.017581837
DAMAN & DIU,2004,166835,3,1,0,1,0,1,2,0,2,0,0,1,35,27,12,15,19,4,5,0,2,17,0,1,0,4,0,25,51,0,1,6,198,85.68,112,-82.92290925,0,0,-14836.69065,-196744727.3,0,1,35,27,63,2.717915711,-0.554984417,0.474319055
LAKSHADWEEP,2004,63976,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,1,0,6,0,0,0,1,0,0,18,0,0,1,70,87.34,32,-84.46715879,0,0,-16756.69065,-213226200.4,0,0,2,5,7,2.681308521,-0.621403579,0.522059783
PUDUCHERRY,2004,1019077,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,23,0,100,4620,81.82,479,-45.04828916,55,0,-11476.69065,-133198962.1,0,1,86,634,721,2.662593602,-0.44756439,0.356639969
ANDHRA PRADESH,2005,82335801,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,3117,515,17175,157123,67.39,275045,1387.297949,1419,48,32776,751545976,250,794,7954,23778,32776,0,0,0
ARUNACHAL PRADESH,2005,1184653,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2,54,150,2304,64.75,83743,11.53294978,147,0,894,46073501,23,77,263,531,894,0,0,0
ASSAM,2005,28053772,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,282,216,5920,42006,76.58,78438,113.3277027,373,9,9409,178998996,334,451,2255,6369,9409,1,0,0
BIHAR,2005,87790018,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,1824,82,5202,97850,57.66,94163,84.57598701,310,33,17515,273082345,1212,2374,3117,10812,17515,3.170518276,5.406834732,0.374474498
CHHATTISGARH,2005,22010465,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,454,497,3588,43633,71.68,135191,480.5928283,1686,14,9826,268191880,204,401,3621,5600,9826,0,0,0
GOA,2005,1443911,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2,1,83,2119,83.15,3702,-37.8885215,61,0,-11476.69065,-147349187.3,2,28,265,495,790,2.853574879,-0.463376092,0.374262117
GUJARAT,2005,53193892,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,1307,237,6284,113414,76.44,196024,1189.733625,1828,48,24544,835241359,282,966,5332,17964,24544,11,10,0
HARYANA,2005,22817519,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,288,0,4069,42664,71.49,44212,640.7842415,1206,54,12609,463902424,88,390,3437,8694,12609,0,0,0
HIMACHAL PRADESH,2005,6485246,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,55,10,788,12345,78.74,55673,26.81157053,183,1,1420,68147727,6,22,696,696,1420,0,0,0
JAMMU & KASHMIR,2005,10662279,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,1,0,2141,20115,61.45,222236,76.23686967,6,47,3427,103828111,13,116,1397,1901,3427,0,0,0
JHARKHAND,2005,28568908,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,277,483,2216,35175,62.76,74677,-40.94985724,883,12,10539.30935,418360674.8,592,732,1610,6195,9129,1,0,0
KARNATAKA,2005,56641538,1609,1406,80,343,0,343,589,312,277,208,119,1202,5986,17008,5920,11088,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,1780,161,4455,117580,72.02,191791,1079.765534,236,17,24404,817172602,208,1202,5986,17008,24404,1,2,0
KERALA,2005,32796224,388,341,88,478,0,478,226,129,97,110,158,621,4110,5454,1969,3485,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,345,82,6425,104350,91.66,38852,442.6650915,380,9,10295,515566635,110,621,4110,5454,10295,3,0,0
MADHYA PRADESH,2005,64383393,2405,2512,134,2921,0,2921,847,604,243,147,130,1557,11192,20685,6390,14295,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,4356,1615,14474,189172,66.66,308245,2604.608509,5673,43,33581,619740811,147,1557,11192,20685,33581,0,0,0
MAHARASHTRA,2005,102996199,2621,1614,98,1545,0,1545,1194,851,343,641,307,2411,15615,46851,12189,34662,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,865,224,13117,187027,80.08,307713,3392.70526,5696,105,65518,2936344274,641,2411,15615,46851,65518,0,0,0
MANIPUR,2005,2495663,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,0,0,139,2913,76.47,22327,-37.97785446,0,2,317,16736542,4,8,62,243,317,3,0,0
MEGHALAYA,2005,2468003,134,35,2,63,0,63,48,19,29,81,1,95,148,476,116,360,42,18,39,3,70,135,1,44,0,3,0,61,381,0,0,130,1880,67.32,22429,-66.39136949,95,2,800,33918479,81,95,148,476,800,0,0,0
MIZORAM,2005,926901,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,0,0,94,2156,88.49,21081,53.20067132,323,0,1228,17718795,3,6,442,777,1228,0,0,0
NAGALAND,2005,2119579,87,26,8,17,0,17,26,9,17,12,0,80,93,294,97,197,8,17,41,5,4,35,0,7,0,0,0,37,252,0,0,33,1049,68.65,16579,0,3,1,479,9429668,12,80,93,294,479,0,0,0
ODISHA,2005,39509013,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,1439,602,5773,51685,70.68,155707,86,596,7,10954,297906936,184,998,3029,6743,10954,2,0,0
PUNJAB,2005,25762254,713,723,216,398,0,398,478,329,149,27,103,85,1933,2924,1151,1773,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,140,0,1906,27136,73.51,50362,210,112,94,4969,325742308,27,85,1933,2924,4969,0,0,0
RAJASTHAN,2005,59751511,1221,1920,59,993,0,993,1993,1549,444,41,79,590,5227,17898,6723,11175,2290,613,8341,88,648,22606,361,2503,28,5997,0,5872,61549,3795,863,11431,140917,62.93,342239,580,1742,32,23756,718848065,41,590,5227,17898,23756,8.34505773,3.983177661,-0.363752389
SIKKIM,2005,575625,8,16,2,18,0,18,3,2,1,2,0,4,85,81,5,76,19,4,44,2,3,99,0,38,0,4,0,53,67,7,22,62,552,72.27,7096,25,23,1,172,4533982,2,4,85,81,172,2.401078087,-0.528702292,-0.030408096
TAMIL NADU,2005,66827019,1440,1759,28,571,1,570,1029,783,246,73,0,437,3738,15851,3583,12268,2551,239,2694,40,495,31725,215,1764,665,1650,0,8902,86494,1206,13,5648,162360,77.78,130060,288,858,45,20099,385878772,73,437,3738,15851,20099,3,2,0
TRIPURA,2005,3369280,121,56,1,162,0,162,85,43,42,22,0,61,170,325,62,263,148,32,59,16,35,429,34,161,1,439,0,188,811,38,12,840,3356,79.17,10486,28,0,8,578,14557243,22,61,170,325,578,2.445759007,-0.396290235,0.36144246
UTTAR PRADESH,2005,179586262,5711,5637,1520,1217,0,1217,2955,2256,699,286,89,2049,4556,20695,8647,12048,3926,2524,4556,261,398,10379,1564,1835,2881,4505,0,7406,37158,4397,6,14258,122108,64.96,240928,1801,105,118,27586,874168257,286,2049,4556,20695,27586,0,0,0
UTTARAKHAND,2005,8848211,279,202,30,133,0,133,203,125,78,48,0,159,521,1630,533,1097,433,144,396,22,24,745,63,100,89,272,0,462,2078,99,1,782,8033,74.26,53566,76,32,17,2358,69814936,48,159,521,1630,2358,3.265589968,0.401478007,0.36446424
WEST BENGAL,2005,84370259,1453,434,408,1686,0,1686,1207,1039,168,211,1221,426,739,12124,2435,9689,2635,528,1760,107,92,4125,446,1572,54,6936,61,2737,25444,12,12,11794,66406,70.96,88752,236,99,23,13500,311480004,211,426,739,12124,13500,9,7,0
