STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
KERALA,2008,33501597,362,434,95,568,0,568,253,166,87,91,267,816,3882,5818,1981,3837,8057,435,3659,46,389,19178,31,2745,258,4138,0,37,59061,519,106,7906,110620,92.26,38852,549,719,8,-14036.69065,49013925.32,91,816,3882,5818,10607,2,0,0
MADHYA PRADESH,2008,67471784,2322,2282,204,2937,0,2937,929,736,193,160,124,2234,11072,24583,10533,14050,2768,570,1368,47,898,36344,805,6445,758,3185,0,6008,100513,2965,1071,14866,206556,68.85,308245,4259,6325,23,35115.30935,1579754999,160,2234,11072,24583,38049,11.75715014,-1.875993162,1.537799735
MAHARASHTRA,2008,107689875,2795,1837,111,1558,0,1558,1379,998,381,811,274,3031,16004,52860,16900,35960,9388,1880,7296,405,1288,29742,390,3619,1091,7829,0,12472,50183,1192,268,15485,206243,82.51,307713,2709,6580,87,72706,5157062253,811,3031,16004,52860,72706,3,3,0
MANIPUR,2008,2644609,187,498,4,38,0,38,176,87,89,1,212,7,76,446,223,223,48,24,161,3,41,301,1,57,0,28,0,2,1038,0,1,211,3349,80.96,22327,89,0,1,-10196.69065,-163011794.6,1,7,76,446,530,0,0,0
MEGHALAYA,2008,2584434,126,55,6,88,0,88,56,25,31,63,0,65,168,669,137,532,8,32,104,10,28,204,2,54,4,32,0,64,480,0,0,205,2318,70.89,22429,62,131,3,299.3093525,-39670757.86,63,65,168,669,965,0,0,0
MIZORAM,2008,958060,35,10,6,77,0,77,9,1,8,4,0,6,338,747,27,720,1,34,57,15,18,118,0,78,0,5,0,53,378,0,0,161,1989,88.49,21081,22,59,4,-20180.69065,-230971313.8,4,6,338,747,1095,0,0,0
NAGALAND,2008,2222580,143,47,13,19,0,19,44,7,37,6,0,87,127,345,182,163,4,16,31,4,14,46,0,15,1,4,0,44,192,0,0,46,1202,70.2,16579,3,0,0,1323.309353,-47666954.35,6,87,127,345,565,0,0,0
ODISHA,2008,41595708,1250,1415,84,1113,0,1113,908,762,146,305,67,1345,3100,7419,1975,5444,2721,342,1244,26,869,7013,401,2782,282,1618,0,3535,18916,1836,508,6958,56755,76.38,155707,141,754,15,12169,480069320,305,1345,3100,7419,12169,0,0,0
PUNJAB,2008,26859458,769,956,146,517,0,517,718,514,204,40,122,167,2621,5563,2182,3381,1,236,3192,78,75,5597,128,388,49,984,0,2845,10122,101,0,2580,35314,76.42,50362,389,102,89,2347.309353,86663125.26,40,167,2621,5563,8391,3.787630077,3.365826405,2.13135745
RAJASTHAN,2008,62203866,1297,1649,54,1355,0,1355,2358,1863,495,64,77,829,4736,20411,9857,10554,1390,737,12097,51,615,21117,439,2520,19,8113,0,7322,63924,4302,1038,14309,151174,64.82,342239,1223,2214,48,51499.30935,1402795468,64,829,4736,20411,26040,8.478861322,1.895780571,0.349477479
SIKKIM,2008,603951,9,7,3,20,0,20,4,4,0,1,0,7,81,127,9,118,17,6,46,0,23,100,0,19,0,5,0,40,215,17,12,48,730,74.87,7096,24,33,0,216,9093796,1,7,81,127,216,2.397306525,-0.647242672,0.025371348
TAMIL NADU,2008,70299260,1759,2327,28,573,0,573,1375,1160,215,100,66,662,3849,15019,3722,11297,2811,231,2349,599,610,20529,207,1705,974,1648,0,12328,107084,1618,14,6267,176833,81.03,130060,666,984,46,-14036.69065,520724482.3,100,662,3849,15019,19630,4.838560164,0.002514847,0.153629242
TRIPURA,2008,3499008,155,53,2,204,0,204,146,110,36,13,3,95,218,499,43,456,197,42,92,23,47,924,16,346,4,735,0,195,1327,4,14,1415,5336,83.65,10486,163,43,2,-10964.69065,-161938133.7,13,95,218,499,825,2.771045471,-0.193150828,0.496799186
UTTAR PRADESH,2008,190386511,4564,4233,1493,1871,0,1871,5428,4439,989,313,76,2097,5418,25946,12064,13882,4381,4296,9327,420,228,11683,2237,2955,3374,8312,0,10102,60242,8009,9,23188,168996,70.66,240928,4078,328,118,18731.30935,953329524.9,313,2097,5418,25946,33774,1,3,0
UTTARAKHAND,2008,9124245,223,217,40,87,0,87,247,222,25,16,2,144,423,1622,726,896,509,171,463,31,15,937,73,120,306,340,0,590,2280,42,0,1148,8856,76.24,53566,38,122,6,5419.309353,49532387.96,16,144,423,1622,2205,3.782523074,0.221046389,0.30951157
WEST BENGAL,2008,87363895,1811,1732,488,2263,0,2263,2332,1907,425,184,1055,613,462,17334,2593,14741,5425,876,2938,148,150,9033,451,2396,94,13663,5,3789,38177,19,17,20779,105419,72.7,88752,513,660,16,18593,556054907,184,613,462,17334,18593,0,0,0
A & N ISLANDS,2008,474389,8,11,2,12,0,12,17,13,4,0,0,14,78,128,11,117,16,12,19,1,15,107,2,24,3,26,0,4,383,0,3,80,882,82.17,8249,47,1872.140274,1,-20948.69065,-521881.4648,0,14,78,128,220,2.447088981,13.6526588,6.660695656
CHANDIGARH,2008,1052361,17,28,6,20,0,20,50,42,8,1,4,23,257,1991,1094,897,85,37,213,0,2,73,3,19,2,49,0,11,1040,2,0,135,3931,83.53,114,66,157,0,2272,99265514,1,23,257,1991,2272,0,0,0
D & N HAVELI,2008,244779,9,2,0,6,0,6,17,11,6,1,0,0,49,54,18,36,24,10,24,1,6,26,0,4,0,4,0,10,154,1,10,25,401,75.13,491,17,22,0,104,11846843,1,0,49,54,104,2.255892734,-0.698172788,0.025920995
DAMAN & DIU,2008,178997,2,2,0,0,0,0,4,1,3,2,0,4,45,49,31,18,35,4,2,1,3,12,0,2,1,5,0,39,36,0,0,9,248,95.68,112,4,11,0,-25876.69065,-301887304.6,2,4,45,49,100,2.542785517,-1.114766249,0.675887981
LAKSHADWEEP,2008,68960,1,0,0,2,0,2,1,1,0,0,0,0,3,8,1,7,12,0,0,0,2,12,0,0,0,1,0,0,53,0,0,4,95,88.25,32,0,0,0,-17644.69065,-230918133.7,0,0,3,8,11,2.620850031,-0.767531781,0.520698988
PUDUCHERRY,2008,1082148,35,35,3,8,0,8,17,9,8,10,3,10,90,688,443,245,165,13,53,2,9,873,2,65,21,12,0,207,2668,29,0,117,4989,82.6,479,26,51,0,-11988.69065,-143643796,10,10,90,688,798,2.66189838,-0.645608152,0.356036485
ANDHRA PRADESH,2009,88666901,2449,1859,134,1188,0,1188,1958,1526,432,102,27,544,7772,24692,7804,16888,2261,904,8528,461,1039,44488,546,5147,3520,11297,0,13438,48087,4504,830,23224,180441,72.55,275045,1719,1540,50,18731.30935,1038458475,102,544,7772,24692,33110,0,0,0
ARUNACHAL PRADESH,2009,1277053,59,33,5,59,0,59,62,28,34,20,0,55,201,381,109,272,52,38,29,8,28,526,0,58,6,13,0,110,619,0,21,164,2362,75.17,83743,33,139,0,9515.309353,8559536.55,20,55,201,381,657,0,0,0
ASSAM,2009,29502947,1323,417,35,1631,0,1631,2718,2092,626,251,21,680,3149,7644,1713,5931,1808,802,1098,84,476,6547,170,1342,10,4398,1,2735,17973,0,9,9644,55313,89.9,78438,384.5969727,555,4,133419.3094,1442600294,251,680,3149,7644,11724,96,0,0
BIHAR,2009,92712901,3152,3068,243,929,0,929,3222,1986,1236,654,64,1619,3566,15221,3674,11547,8554,1186,2676,69,685,14746,1295,726,12,2532,31,4516,54165,3836,67,7511,122931,68.34,94163,1016,980,28,18731.30935,879749093.2,654,1619,3566,15221,21060,9,5,4
CHHATTISGARH,2009,23364374,1083,732,19,976,0,976,286,229,57,134,16,554,3975,5792,2181,3611,957,166,682,68,335,9543,128,1598,152,893,0,2735,20546,284,376,3976,51370,78.7,135191,1321,2860,103,182571.3094,1930034921,134,554,3975,5792,10455,67,67,54
GOA,2009,1548721,53,24,11,47,0,47,33,22,11,4,0,30,294,858,336,522,50,52,132,27,24,191,3,37,10,21,0,220,884,3,0,140,3005,84.3,3702,92,76,1,-13012.69065,-155591923.8,4,30,294,858,1186,2.714368205,-0.619925803,0.385813825
GUJARAT,2009,55792963,1020,468,30,433,0,433,1348,1162,186,246,11,1420,4488,19669,11130,8539,1539,1256,1014,238,240,9456,24,727,114,5506,0,5178,60758,1182,195,7966,115183,83.74,196024,968,1870,49,2347.309353,1034238803,246,1420,4488,19669,25823,2,0,0
HARYANA,2009,24597824,948,690,78,603,0,603,916,659,257,153,297,679,4077,12917,8449,4468,1166,827,1406,35,153,3977,281,451,605,2617,0,1549,21804,303,0,5216,56229,75.08,44212,353,1190,45,-14036.69065,490314565.5,153,679,4077,12917,17826,0,0,0
HIMACHAL PRADESH,2009,6933560,125,73,13,183,0,183,150,122,28,4,0,21,784,823,327,496,591,117,264,2,124,1230,1,318,37,284,0,616,7555,88,1,945,13315,81,55673,221,162,1,-1748.690647,-105372633.7,4,21,784,823,1632,0,0,0
JAMMU & KASHMIR,2009,11245253,237,547,23,237,0,237,873,825,48,1,0,69,1566,2631,876,1755,1472,132,475,37,217,331,12,972,371,196,0,517,11059,1,0,2613,21975,67.38,222236,18,10,20,45355.30935,316973165.1,1,69,1566,2631,4267,0,0,0
JHARKHAND,2009,30257439,1636,1274,104,719,0,719,827,517,310,412,53,780,1392,7716,2990,4726,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,631,182,2606,37436,71.96,74677,60,728,53,2347.309353,425632192.5,412,780,1392,7716,10300,3.523820301,2.594976587,1.668769809
KARNATAKA,2009,60776921,1702,1607,79,509,0,509,892,408,484,273,346,1825,6629,20576,11093,9483,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,2174,272,6618,134042,77.98,191791,308,252,21,2347.309353,885915060.7,273,1825,6629,20576,29303,0,0,0
KERALA,2009,33735007,343,408,100,568,0,568,256,173,83,112,266,830,3554,5564,2029,3535,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,467,102,7703,118369,92.46,38852,587,677,13,-22228.69065,-32621240.79,112,830,3554,5564,10060,1,1,0
MADHYA PRADESH,2009,68513643,2386,2212,117,2998,1,2997,1036,841,195,117,156,2270,10661,23260,10705,12555,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,3040,1135,15716,207762,69.58,308245,4646,5174,29,2347.309353,1038473229,117,2270,10661,23260,36308,9.987838517,1.916557659,1.62166838
MAHARASHTRA,2009,109291221,2653,1880,98,1483,0,1483,1286,926,360,780,287,3314,15841,50930,18133,32797,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,1096,224,14726,199598,83.32,307713,2894,6465,152,-128724.6906,1600778229,780,3314,15841,50930,70865,6,6,0
MANIPUR,2009,2695109,131,478,2,31,0,31,159,97,62,1,188,3,68,394,283,111,48,20,96,1,81,224,0,39,2,25,0,0,861,0,0,194,2852,82.46,22327,72,0,1,-12244.69065,-182041371.4,1,3,68,394,466,0,0,0
MEGHALAYA,2009,2624104,128,39,12,112,0,112,56,26,30,64,1,67,147,545,180,365,18,26,113,9,54,207,0,72,1,24,1,72,680,0,0,236,2448,72.08,22429,83,87,1,299.3093525,-53699773.1,64,67,147,545,823,0,0,0
MIZORAM,2009,968913,31,14,8,83,1,82,9,0,9,2,0,4,381,761,77,684,1,30,61,9,24,120,0,61,1,4,0,36,407,0,0,149,2047,88.49,21081,14,19,0,-13012.69065,-173202261.3,2,4,381,761,1148,3.158802078,-0.806965196,0.403025087
NAGALAND,2009,2258087,46,35,7,22,0,22,52,10,42,8,0,92,82,347,69,278,4,6,33,3,4,38,0,11,0,0,0,34,235,0,0,43,1059,70.71,16579,0,14,0,299.3093525,-51722468.91,8,92,82,347,529,0,0,0
ODISHA,2009,42302794,1250,1231,48,1023,0,1023,930,799,131,380,63,1488,2937,7136,2521,4615,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,1709,552,7161,55740,78.28,155707,194,464,25,26923.30935,546415921.8,380,1488,2937,7136,11941,6,0,0
PUNJAB,2009,27233507,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,108,0,2563,35545,77.38,50362,729,200,66,-1748.690647,34887454.22,38,171,2507,5624,8340,3.824347936,2.206579233,1.652768194
RAJASTHAN,2009,63024553,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,4985,1183,17145,166565,65.45,342239,1407,2298,38,51499.30935,1469853571,53,886,5294,22144,28377,9.903128323,-0.259676269,-0.039970456
SIKKIM,2009,613843,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,16,14,40,669,75.73,7096,40,60,2,-2260.690647,-95224847.53,0,4,93,62,159,2.943003536,-0.054284014,0.360030318
TAMIL NADU,2009,71484288,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,1312,22,5126,174691,82.11,130060,634,1430,80,-14036.69065,664061472.2,97,1144,4221,15712,21174,0,0,0
TRIPURA,2009,3542715,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,7,27,1515,5486,85.15,10486,163,87,2,-11988.69065,-171756918.6,7,77,231,415,730,2.852091081,-0.378551719,0.563286057
UTTAR PRADESH,2009,194140928,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,7522,4,22941,172884,72.56,240928,3085,438,115,35115.30935,1438745613,365,2285,5260,29226,37136,2.838281409,6.987657572,1.036946002
UTTARAKHAND,2009,9217604,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,58,0,1181,8802,76.9,53566,33,180,18,3371.309353,43633173.71,35,179,363,1601,2178,3.698819119,0.667335163,0.743469956
WEST BENGAL,2009,88336987,2068,2119,931,2336,0,2336,2750,2187,563,214,724,751,329,17133,3709,13424,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,21,16,23196,113036,73.28,88752,484,160,22,-14036.69065,729087259.8,214,751,329,17133,18427,0,0,0
A & N ISLANDS,2009,492605,15,4,4,18,0,18,16,14,2,0,0,11,86,134,10,124,11,7,20,2,12,89,1,30,7,21,0,2,451,0,2,91,941,82.29,8249,41,1872.139479,0,-21076.69065,-1298389.529,0,11,86,134,231,2.459101903,13.58936756,6.626486281
CHANDIGARH,2009,1075059,22,18,8,29,0,29,40,36,4,4,3,27,241,1731,1117,614,66,38,193,4,4,63,2,26,2,51,0,7,976,0,0,146,3555,83.75,114,71,134,5,-22228.69065,-175511567.2,4,27,241,1731,2003,0,0,0
D & N HAVELI,2009,248338,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,1,16,19,442,77.63,491,11,26,0,-5780.690647,-123574188.9,9,2,43,63,117,2.788378313,-0.285428934,0.318039232
DAMAN & DIU,2009,182155,5,4,1,1,0,1,0,0,0,0,0,4,33,41,27,14,29,8,4,3,3,14,0,4,1,3,0,40,78,2,0,9,276,98.18,112,2,2,0,-28692.69065,-327432533.9,0,4,33,41,78,2.504321048,-1.230159471,0.721497723
LAKSHADWEEP,2009,70304,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,0,0,1,134,88.48,32,0,0,0,-17876.69065,-233016573.2,3,0,1,10,14,2.619593195,-0.781471511,0.529876045
PUDUCHERRY,2009,1098503,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,29,0,93,4591,82.8,479,21,79,0,-13012.69065,-145929889.6,7,9,71,711,798,2.662138442,-0.693569213,0.372553964
ANDHRA PRADESH,2010,90282867,2538,1953,155,1362,0,1362,2053,1531,522,134,2,550,8200,26756,7422,19334,2231,1130,9164,186,925,46777,588,4634,4562,12080,0,14085,41373,4321,807,24757,181438,73.84,275045,1823,1863,46,35115.30935,1307974199,134,550,8200,26756,35640,0,0,0
ARUNACHAL PRADESH,2010,1301020,75,34,3,47,0,47,67,46,21,15,0,69,211,445,139,306,31,59,91,0,28,439,0,84,1,12,0,106,622,0,54,190,2439,77.77,83743,20,81,0,6443.309353,-19862387.98,15,69,211,445,740,0,0,0
ASSAM,2010,29873851,1223,431,46,1721,5,1716,3250,2767,483,248,12,662,3458,7860,2124,5736,2183,992,1371,68,437,5744,175,1400,20,5410,0,2847,22110,7,3,11493,61668,93.23,78438,197,383,13,-5844.690647,200643583.1,248,662,3458,7860,12228,5,0,0
BIHAR,2010,93964050,3362,2915,344,795,0,795,3674,2569,1105,644,46,1538,3437,15544,4257,11287,8809,1071,3025,52,660,15328,1257,534,16,2271,8,5615,56508,3516,71,7450,127453,71.01,94163,1843,693,15,18731.30935,758171295,644,1538,3437,15544,21163,9,5,4
CHHATTISGARH,2010,23715086,1065,756,30,1012,0,1012,359,279,80,122,15,552,3711,5805,2139,3666,1092,196,813,59,319,10188,115,1706,182,861,2,2907,23091,271,386,4157,54958,80.45,135191,1463,2128,82,-5844.690647,138650927,122,552,3711,5805,10190,0,0,0
GOA,2010,1576280,35,27,3,36,0,36,25,18,7,2,0,39,368,1034,359,675,64,57,117,33,23,177,1,36,16,17,0,256,927,1,0,124,3293,84.59,3702,79,76,0,-18132.69065,-191829256.6,2,39,368,1034,1443,1,0,0
GUJARAT,2010,56440178,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,1008,155,8095,116439,85.56,196024,1006,1688,57,2347.309353,866837568.2,186,1384,4071,16794,22435,8,2,0
HARYANA,2010,25061016,1005,836,63,720,0,720,963,714,249,147,248,734,4445,16266,11299,4967,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,380,0,5494,59120,75.98,44212,303,836,26,-14036.69065,622505878.9,147,734,4445,16266,21592,1,1,0
HIMACHAL PRADESH,2010,7052334,132,74,12,160,0,160,194,162,32,2,0,11,743,838,334,504,615,110,318,4,127,1374,2,350,78,275,0,610,7020,101,2,1027,13049,81.56,55673,246,206,5,-4820.690647,-128001318.6,2,11,743,838,1594,0,0,0
JAMMU & KASHMIR,2010,11401351,217,711,26,245,0,245,896,840,56,6,0,61,1406,2510,967,1543,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,1,0,2605,23223,68.86,222236,17,27,25,43307.30935,300533089.9,6,61,1406,2510,3983,0,0,0
JHARKHAND,2010,30689605,1689,1028,82,773,0,773,978,696,282,335,19,709,1357,7090,2709,4381,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,577,234,2664,38889,74.26,74677,54,96,55,6443.309353,339777513.8,335,709,1357,7090,9491,3.402346842,2.645357683,1.241793221
KARNATAKA,2010,61843534,1805,1850,94,586,0,586,1374,586,788,272,300,1949,6059,20093,10840,9253,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,2505,294,7488,142322,79.47,191791,409,180,22,18731.30935,1025166071,272,1949,6059,20093,28373,0,0,0
KERALA,2010,33967620,363,361,86,634,0,634,261,184,77,74,221,636,2682,4380,1486,2894,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,583,88,9110,148313,92.66,38863,596,801,5,-22228.69065,-60259060.22,74,636,2682,4380,7772,0,0,0
MADHYA PRADESH,2010,69561812,2423,2277,123,3135,0,3135,1187,1030,157,110,110,1919,9897,21577,11353,10224,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,3374,1384,16382,214269,70.31,308245,4912,6028,31,18731.30935,1172063550,110,1919,9897,21577,33503,10.43743737,-0.138142937,2.466085294
MAHARASHTRA,2010,110911542,2744,1926,152,1599,0,1599,1508,1124,384,778,285,3721,16617,52565,18676,33889,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,1132,292,15391,208168,84.13,307713,3264,5884,97,-63188.69065,2163866669,778,3721,16617,52565,73681,1,0,0
MANIPUR,2010,2746055,92,258,1,34,0,34,199,107,92,0,196,2,66,417,254,163,65,24,59,7,86,227,0,31,0,18,0,1,932,0,0,190,2715,83.95,22327,73,0,1,-14292.69065,-198902705,0,2,66,417,485,0,0,0
MEGHALAYA,2010,2664207,134,60,8,149,0,149,71,37,34,42,1,67,166,664,152,512,7,37,98,4,52,154,0,48,0,24,0,53,666,0,0,258,2505,73.27,22429,110,110,0,-1748.690647,-64153901.01,42,67,166,664,939,0,0,0
MIZORAM,2010,979999,48,27,7,92,0,92,9,0,9,3,0,16,425,823,69,754,0,25,79,12,15,116,0,75,0,3,0,44,355,0,0,170,2174,88.49,21081,50,76,1,-13012.69065,-166857027,3,16,425,823,1267,3.181468106,-0.734509035,0.491616194
NAGALAND,2010,2294197,45,35,13,16,0,16,50,6,44,3,0,63,62,397,80,317,2,13,39,3,1,36,0,13,3,1,0,22,242,0,0,39,1059,71.23,16579,10,46,0,-468.6906475,-54663638.44,3,63,62,397,525,0,0,0
ODISHA,2010,43015702,1308,1436,31,1025,0,1025,1016,912,104,346,117,1491,2855,7572,2627,4945,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,1710,556,7534,56459,80.18,155707,194,527,12,18731.30935,515031282.8,346,1491,2855,7572,12264,5,1,0
PUNJAB,2010,27611548,907,994,120,546,0,546,789,576,213,65,143,241,2661,5446,2467,2979,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,115,0,2793,36648,78.35,50362,627,226,110,-14036.69065,-71707699.98,65,241,2661,5446,8413,2.715797506,6.043176208,3.216502742
RAJASTHAN,2010,63846695,1421,1557,104,1571,0,1571,2985,2477,508,37,84,872,4714,22324,13245,9079,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,4979,1319,18017,162957,66.08,342239,1318,2223,44,51499.30935,1506473377,37,872,4714,22324,27947,9.704725542,-0.703466781,0.005859788
SIKKIM,2010,623967,17,6,2,18,0,18,6,6,0,1,0,7,72,53,8,45,4,1,20,3,7,73,1,11,0,3,0,47,200,3,1,39,552,76.6,7096,29,66,1,-3284.690647,-101272577.8,1,7,72,53,133,2.941183979,-0.148990509,0.35430127
TAMIL NADU,2010,72682776,1875,2641,32,686,0,686,1720,1464,256,85,12,1817,4715,14583,5045,9538,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,1631,33,5928,185678,83.19,130058,810,1091,67,-14036.69065,596267616.7,85,1817,4715,14583,21200,4.446782725,3.34458774,0.679156556
TRIPURA,2010,3586662,150,63,8,238,0,238,114,91,23,16,2,65,221,457,64,393,163,53,122,6,51,1136,25,376,9,937,0,237,1356,11,35,1676,5805,86.64,10486,227,45,2,-13524.69065,-198155421.8,16,65,221,457,759,2.786087009,-0.414846287,0.606556782
UTTAR PRADESH,2010,197975303,4401,4004,1401,1563,1,1562,6321,5468,853,337,48,2577,4915,31153,18216,12937,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,6272,0,20030,174179,74.46,240928,2332,781,105,35115.30935,1736391682,337,2577,4915,31153,38982,6,5,0
UTTARAKHAND,2010,9311652,176,219,60,121,0,121,286,249,37,12,2,162,310,2138,871,1267,458,167,567,33,17,974,75,125,165,334,0,738,2101,35,0,1069,9240,77.56,53566,31,148,15,299.3093525,44349818.14,12,162,310,2138,2622,3.375520932,0.678677243,0.559691177
